Ingredient,Category,Nutrient_Flag,Condition,Impact,RiskWeight,Recommendation,Reason,Source
Pastries,Baked Good,Trans Fat and Sugar,Diabetes,High sugar and refined carbs,9,Strictly Avoid,Pastries combine multiple diabetogenic ingredients,ADA
Bakery Products,Baked Good,Trans Fat,Heart Disease,Trans fat and saturated fat,8,Avoid,Commercial baked goods contain harmful fats,AHA
Bakery Products,Baked Good,Trans Fat,Diabetes,High refined carbs,8,Avoid,Refined flour in bakery products spikes blood sugar,ADA
Milk Solids,Dairy,Lactose and Casein,Lactose Intolerance,Causes GI distress,7,Avoid,Contains lactose which causes digestive issues,NHS
Milk Solids,Dairy,Lactose and Casein,Milk Allergy,Triggers allergic reaction,9,Strictly Avoid,Milk protein allergen present,NHS
Milk Powder,Dairy,Lactose and Casein,Lactose Intolerance,Causes GI distress,7,Avoid,Contains lactose which causes digestive issues,NHS
Milk Powder,Dairy,Lactose and Casein,Milk Allergy,Triggers allergic reaction,9,Strictly Avoid,Milk protein allergen present,NHS
Whey,Dairy,Milk Protein,Milk Allergy,Triggers allergic reaction,8,Avoid,Whey is a milk protein allergen,NHS
Casein,Dairy,Milk Protein,Milk Allergy,Triggers allergic reaction,9,Strictly Avoid,Casein is a primary milk allergen,NHS
Artificial Colors,Food Additive,Synthetic Dye,Sensitivity,Hyperactivity reactions,4,Limit,Synthetic dyes may cause reactions in sensitive individuals,FSSAI
Artificial Preservatives,Food Additive,Chemical Preservative,Sensitivity,Hyperactivity reactions,4,Limit,Preservatives may cause reactions in some individuals,FSSAI
Sodium Benzoate,Food Additive,Preservative,Sensitivity,Hyperactivity in children,4,Limit,May cause hyperactivity in sensitive children,FSSAI
Potassium Sorbate,Food Additive,Preservative,Sensitivity,Mild GI reactions,3,Limit,Generally safe but may cause reactions in some,FSSAI
Sodium Chloride,Mineral,High Sodium,Hypertension,Raises blood pressure,8,Avoid,Table salt directly elevates blood pressure,WHO
Sodium Chloride,Mineral,High Sodium,Kidney Disease,Overloads kidneys,8,Avoid,Salt overloads kidney filtration in CKD,NKF
