rule_id,condition,sub_condition,nutrient,threshold_min,threshold_max,unit,restriction_level,ingredient_flag,risk_weight,guideline_source,recommendation
DIA008,Diabetes,Type 2,alcohol,0.0,1.0,units/day,moderate,beer,0.82,ADA,Alcohol can cause hypoglycemia especially without food
DIA009,Diabetes,Type 2,trans_fat,0.0,0.0,g/day,strict,hydrogenated_oil,0.97,ADA,Trans fats must be completely eliminated
DIA010,Diabetes,Type 2,omega3,500.0,2000.0,mg/day,recommended,fried_snacks,0.78,ADA,Omega-3 reduces cardiovascular risk in diabetics
DIA011,Diabetes,Type 1,carbs,45.0,65.0,g/meal,moderate,concentrated_sweets,0.85,ADA,Carb counting is essential for insulin management
DIA012,Diabetes,Type 1,added_sugar,0.0,10.0,g/meal,strict,fruit_juice,0.92,ADA,Limit added sugar per meal to prevent glucose spikes
DIA013,Diabetes,Type 1,protein,15.0,60.0,g/day,moderate,red_meat,0.7,ADA,Adequate protein without excess for Type 1 management
DIA014,Diabetes,Type 1,fat,20.0,55.0,g/day,moderate,coconut_oil,0.75,ADA,Moderate fat intake for Type 1 diabetes
DIA015,Diabetes,Prediabetes,calories,0.0,1800.0,kcal/day,moderate,junk_food,0.88,ADA,Caloric restriction to achieve 5-7% body weight loss
DIA016,Diabetes,Prediabetes,physical_activity,150.0,300.0,min/week,recommended,sedentary_diet,0.85,ADA,Combine diet changes with 150 mins exercise weekly
DIA017,Diabetes,Prediabetes,whole_grain,50.0,100.0,servings/day,recommended,white_flour,0.8,ADA,Replace refined grains with whole grains
DIA018,Diabetes,Prediabetes,legumes,3.0,5.0,servings/week,recommended,canned_beans_sodium,0.72,ADA,Legumes improve insulin sensitivity
DIA019,Diabetes,General,meal_frequency,3.0,6.0,meals/day,recommended,skipped_meals,0.78,ADA,Eat regular small meals to maintain glucose levels
DIA020,Diabetes,General,artificial_sweetener,0.0,3.0,servings/day,moderate,saccharin,0.65,ADA,Use approved sweeteners in moderation
DIA021,Diabetes,General,glycemic_load,0.0,100.0,GL/day,strict,dates,0.9,ADA,Control daily glycemic load not just individual foods
DIA022,Diabetes,General,fructose,0.0,25.0,g/day,strict,high_fructose_corn_syrup,0.92,ADA,Avoid high fructose corn syrup and excessive fruit juice
DIA023,Diabetes,General,magnesium,310.0,420.0,mg/day,recommended,refined_foods,0.75,ADA,Magnesium deficiency linked to insulin resistance
DIA024,Diabetes,General,chromium,25.0,45.0,mcg/day,recommended,white_sugar,0.7,ADA,Chromium supports insulin function
DIA025,Diabetes,General,vitamin_d,600.0,800.0,IU/day,recommended,fortified_foods_absent,0.72,ADA,Vitamin D deficiency worsens insulin resistance
DIA026,Diabetes,With Hypertension,sodium,0.0,1500.0,mg/day,strict,processed_food,0.97,ADA/AHA,Diabetics with hypertension need sodium under 1500mg
DIA027,Diabetes,With CKD,protein,0.6,0.8,g/kg/day,strict,meat,0.95,ADA/NKF,Protein restriction critical when diabetes complicates CKD
DIA028,Diabetes,With Heart,saturated_fat,0.0,7.0,g/day,strict,butter,0.97,ADA/AHA,Strict fat control when diabetes co-exists with heart disease
DIA029,Diabetes,With PCOS,sugar,0.0,20.0,g/day,strict,sweets,0.97,ADA/NHS,Combined diabetes and PCOS needs very strict sugar control
DIA030,Diabetes,Gestational,carbs,175.0,265.0,g/day,moderate,sweets,0.88,ADA,Gestational diabetes requires controlled carb distribution
DIA031,Diabetes,Gestational,added_sugar,0.0,10.0,g/day,strict,sugary_drinks,0.93,ADA,Minimal added sugar in gestational diabetes management
DIA032,Diabetes,Gestational,sodium,0.0,2300.0,mg/day,moderate,salt,0.78,ADA,Moderate sodium for gestational diabetes with hypertension
DIA033,Diabetes,Elderly,carbs,130.0,200.0,g/day,moderate,high_glycemic,0.85,ADA,Elderly diabetics need careful but not overly restrictive carb control
DIA034,Diabetes,Elderly,protein,1.0,1.2,g/kg/day,recommended,low_protein,0.8,ADA,Higher protein needs for elderly diabetics to prevent muscle loss
DIA035,Diabetes,Elderly,vitamin_d,800.0,2000.0,IU/day,recommended,deficient,0.78,ADA,Vitamin D particularly important for elderly diabetics
DIA036,Diabetes,South Asian,white_rice,0.0,1.0,cup/day,strict,white_rice,0.92,FSSAI/ADA,White rice is a major glycemic driver in South Asian diet
DIA037,Diabetes,South Asian,maida,0.0,0.0,g/day,strict,maida_products,0.93,FSSAI,Refined flour products ubiquitous in South Asian cuisine
DIA038,Diabetes,South Asian,coconut_oil,0.0,2.0,teaspoons/day,moderate,coconut_oil,0.8,FSSAI,Coconut oil high in saturated fat for South Asian diabetics
DIA039,Diabetes,South Asian,fried_snacks,0.0,0.0,servings/day,strict,samosa,0.92,FSSAI,Samosas and fried snacks spike blood sugar dramatically
DIA040,Diabetes,South Asian,roti,1.0,3.0,servings/day,moderate,white_flour_roti,0.8,FSSAI/ADA,Prefer whole wheat or multigrain roti over white flour
DIA041,Diabetes,With NAFLD,fructose,0.0,10.0,g/day,strict,fruit_juice,0.98,ADA/NHS,Diabetes plus fatty liver requires near-zero fructose
DIA042,Diabetes,With NAFLD,calories,1200.0,1600.0,kcal/day,strict,high_calorie,0.97,ADA/NHS,Aggressive caloric restriction for diabetes with NAFLD
DIA043,Diabetes,Night Shift,meal_timing,0.0,3.0,irregular_meals,strict,irregular_eating,0.85,ADA,Meal timing is crucial for night shift workers with diabetes
DIA044,Diabetes,Night Shift,caffeine,0.0,200.0,mg/day,moderate,late_coffee,0.75,ADA,Caffeine affects sleep quality and glucose control in shift workers
DIA045,Diabetes,Vegetarian,protein_completeness,50.0,100.0,servings/day,recommended,incomplete_protein,0.8,ADA,Vegetarian diabetics must ensure complete protein from plant sources
DIA046,Diabetes,Vegetarian,vitamin_b12,2.4,1000.0,mcg/day,recommended,b12_deficient,0.85,ADA,B12 supplementation essential for vegetarian diabetics
DIA047,Diabetes,Vegetarian,iron,8.0,18.0,mg/day,recommended,low_iron,0.78,ADA,Non-heme iron absorption lower in vegetarian diets
DIA048,Diabetes,Vegetarian,zinc,8.0,12.0,mg/day,recommended,zinc_poor_veg,0.78,ADA,Plant-based zinc less bioavailable so increase intake
DIA049,Diabetes,Ramadan,pre_dawn_meal,1.0,1.0,complete_meal,moderate,skip_suhoor,0.85,ADA,Suhoor meal planning critical for diabetics fasting Ramadan
DIA050,Diabetes,Ramadan,hydration,1500.0,2500.0,ml/non_fasting,recommended,dehydration_risk,0.85,ADA,Adequate hydration during non-fasting hours in Ramadan
DIA051,Diabetes,With Cholesterol,saturated_fat,0.0,7.0,g/day,strict,ghee,0.97,ADA/AHA,Combined lipid and glucose management requires fat restriction
DIA052,Diabetes,With Cholesterol,omega3,1000.0,3000.0,mg/day,recommended,fried_food,0.88,ADA/AHA,Omega-3 improves both lipid and glucose parameters
DIA053,Diabetes,With Kidney,phosphorus,600.0,800.0,mg/day,strict,dairy,0.93,ADA/NKF,Phosphorus restriction needed for diabetic nephropathy
DIA054,Diabetes,With Kidney,sodium,0.0,1500.0,mg/day,strict,processed_food,0.97,ADA/NKF,Sodium restriction essential for diabetic nephropathy
DIA055,Diabetes,Senior Athlete,carbs,200.0,300.0,g/day,moderate,low_carb_extreme,0.8,ADA,Senior diabetic athletes need adequate carbs for performance
DIA056,Diabetes,Senior Athlete,protein,1.2,1.6,g/kg/day,recommended,low_protein,0.82,ADA,Higher protein needs for elderly diabetic athletes
DIA057,Diabetes,Senior Athlete,hydration,2000.0,3000.0,ml/day,recommended,dehydration,0.85,ADA,Elderly diabetics are prone to exercise-related dehydration
DIA058,Diabetes,South Asian,biryani,0.0,0.0,servings/week,strict,white_rice_biryani,0.93,FSSAI/ADA,Biryani made with white rice is high glycemic for diabetics
DIA059,Diabetes,South Asian,mithai,0.0,0.0,servings/week,strict,indian_sweets,0.97,FSSAI,Indian sweets like ladoo and barfi cause extreme glucose spikes
DIA060,Diabetes,South Asian,curd,1.0,2.0,servings/day,recommended,full_fat_curd,0.72,FSSAI,Plain low-fat curd is a beneficial probiotic for South Asian diabetics
DIA061,Diabetes,Low Carb Diet,carbs,20.0,100.0,g/day,moderate,high_GI_carbs,0.88,ADA,Low carbohydrate diet can effectively lower HbA1c in T2D
DIA062,Diabetes,Low Carb Diet,fat,40.0,80.0,g/day,moderate,saturated_fat,0.82,ADA,Fat replaces carbs in low carb diet but choose healthy fats
DIA063,Diabetes,Low Carb Diet,fiber,20.0,35.0,g/day,recommended,refined_carbs,0.85,ADA,Maintain adequate fiber even in low carbohydrate approach
DIA064,Diabetes,Low Carb Diet,electrolytes,1500.0,2300.0,mg/day,moderate,low_sodium,0.78,ADA,Electrolyte management important in initial low carb diet phase
DIA065,Diabetes,Mediterranean Diet,olive_oil,2.0,4.0,tablespoons/day,recommended,refined_oil,0.8,ADA,Extra virgin olive oil is central to Mediterranean diet for diabetes
DIA066,Diabetes,Mediterranean Diet,legumes,3.0,5.0,servings/week,recommended,canned_sodium,0.78,ADA,Legumes provide low GI protein and fiber for diabetes
DIA067,Diabetes,Mediterranean Diet,fish,2.0,3.0,servings/week,recommended,fried_fish,0.82,ADA,Oily fish provides omega-3 critical for diabetic heart protection
DIA068,Diabetes,With Sleep Apnea,calories,1200.0,1800.0,kcal/day,strict,high_calorie,0.9,ADA,Weight loss addresses both sleep apnea and diabetes simultaneously
DIA069,Diabetes,With COPD,carbs,45.0,150.0,g/day,moderate,high_carbs_respiratory,0.82,ADA,Lower carbs reduce CO2 production benefiting COPD with diabetes
DIA070,Diabetes,Renal Transplant,protein,1.0,1.4,g/kg/day,moderate,excess_protein,0.85,ADA/NKF,Protein needs adjust post renal transplant in diabetic patients
DIA071,Diabetes,Metformin,vitamin_b12,2.4,1000.0,mcg/day,recommended,low_b12,0.88,ADA,Metformin reduces B12 absorption requiring supplementation
DIA072,Diabetes,Metformin,alcohol,0.0,1.0,units/day,strict,alcohol,0.9,ADA,Alcohol increases lactic acidosis risk with metformin use
DIA073,Diabetes,Insulin,carbs,45.0,60.0,g/meal,moderate,variable_carbs,0.88,ADA,Consistent carbohydrate intake critical for insulin dose matching
DIA074,Diabetes,Insulin,alcohol,0.0,1.0,units/day,moderate,spirits,0.85,ADA,Alcohol without food causes hypoglycemia in insulin users
DIA075,Diabetes,SGLT2,carbs,100.0,200.0,g/day,moderate,very_low_carb,0.82,ADA,SGLT2 inhibitors increase DKA risk on very low carb diets
PCO001,PCOS,General,added_sugar,0.0,20.0,g/day,strict,sugar,0.95,NHS/ADA,Reduce sugar to lower insulin resistance in PCOS
PCO002,PCOS,General,refined_carbs,0.0,0.0,g/day,strict,white_bread,0.93,NHS,Eliminate refined carbs to improve hormonal balance
PCO003,PCOS,General,glycemic_index,0.0,55.0,GI score,strict,processed_snacks,0.92,NHS,Low GI diet reduces androgen levels in PCOS
PCO004,PCOS,General,fiber,25.0,35.0,g/day,recommended,refined_grains,0.85,NHS,High fiber improves insulin sensitivity in PCOS
PCO005,PCOS,General,trans_fat,0.0,0.0,g/day,strict,margarine,0.95,NHS,Trans fats worsen inflammation and hormonal imbalance
PCO006,PCOS,General,omega3,1000.0,3000.0,mg/day,recommended,vegetable_oil,0.88,NHS,Omega-3 reduces inflammation and androgens in PCOS
PCO007,PCOS,General,dairy,0.0,2.0,servings/day,moderate,full_fat_dairy,0.78,NHS,Some studies link high dairy to elevated androgens
PCO008,PCOS,General,soy,0.0,1.0,servings/day,moderate,soy_milk,0.65,NHS,Soy phytoestrogens may affect hormone levels
PCO009,PCOS,General,magnesium,310.0,360.0,mg/day,recommended,processed_food,0.8,NHS,Magnesium helps regulate insulin and androgens
PCO010,PCOS,General,zinc,8.0,12.0,mg/day,recommended,low_zinc_foods,0.75,NHS,Zinc deficiency worsens PCOS symptoms
PCO011,PCOS,General,vitamin_d,600.0,2000.0,IU/day,recommended,fortified_absent,0.8,NHS,Vitamin D supplementation improves PCOS outcomes
PCO012,PCOS,General,inositol,2000.0,4000.0,mg/day,recommended,deficient_diet,0.85,NHS,Inositol improves ovulation and insulin sensitivity
PCO013,PCOS,General,anti_inflammatory_foods,3.0,5.0,servings/day,recommended,processed_meat,0.82,NHS,Anti-inflammatory foods reduce PCOS severity
PCO014,PCOS,General,alcohol,0.0,0.0,units/day,strict,alcohol,0.88,NHS,Alcohol disrupts hormone balance in PCOS
PCO015,PCOS,Overweight,calories,1400.0,1800.0,kcal/day,moderate,high_calorie_snacks,0.85,NHS,Modest caloric restriction helps PCOS management
PCO016,PCOS,Overweight,protein,20.0,75.0,g/day,recommended,low_protein_diet,0.8,NHS,Higher protein reduces hunger and aids weight loss
PCO017,PCOS,Overweight,saturated_fat,0.0,7.0,g/day,strict,red_meat,0.85,NHS,Limit saturated fat for PCOS with overweight
PCO018,PCOS,Overweight,whole_grain,50.0,100.0,servings/day,recommended,white_rice,0.78,NHS,Whole grains help PCOS-related insulin resistance
PCO019,PCOS,Lean,total_calories,1800.0,2200.0,kcal/day,moderate,undereating,0.72,NHS,Lean PCOS patients should avoid excessive restriction
PCO020,PCOS,Lean,anti_androgen_foods,2.0,4.0,servings/day,recommended,high_fat_foods,0.75,NHS,Foods reducing androgens beneficial for lean PCOS
PCO021,PCOS,South Asian,ghee,0.0,1.0,teaspoon/day,moderate,ghee,0.82,FSSAI/NHS,Limit ghee intake to reduce saturated fat in PCOS
PCO022,PCOS,South Asian,white_rice,0.0,0.5,cup/day,strict,white_rice,0.9,FSSAI/NHS,Minimize white rice for insulin control in PCOS
PCO023,PCOS,Adolescent,added_sugar,0.0,20.0,g/day,strict,soda,0.95,NHS,Adolescent PCOS strongly linked to sugar consumption
PCO024,PCOS,Adolescent,omega3,500.0,2000.0,mg/day,recommended,low_omega3,0.88,NHS,Omega-3 reduces inflammation in adolescent PCOS
PCO025,PCOS,With Infertility,anti_inflammatory,3.0,5.0,servings/day,recommended,processed_food,0.85,NHS,Anti-inflammatory diet supports fertility in PCOS patients
PCO026,PCOS,With Infertility,antioxidants,3.0,5.0,servings/day,recommended,low_antioxidant,0.85,NHS,Antioxidants improve egg quality in PCOS-related infertility
PCO027,PCOS,With Infertility,vitamin_d,1000.0,4000.0,IU/day,recommended,deficient_sun,0.82,NHS,Vitamin D supplementation may improve fertility in PCOS
PCO028,PCOS,With Insulin Resistance,chromium,25.0,45.0,mcg/day,recommended,refined_foods,0.8,NHS,Chromium improves insulin sensitivity in PCOS
PCO029,PCOS,With Insulin Resistance,berberine_foods,1.0,3.0,servings/day,moderate,low_berberine,0.72,NHS,Berberine-containing foods support insulin regulation
PCO030,PCOS,With Acne,dairy,0.0,1.0,servings/day,moderate,full_fat_milk,0.78,NHS,Dairy linked to acne worsening in PCOS patients
PCO031,PCOS,Vegetarian,protein,20.0,60.0,g/day,recommended,low_protein_veg,0.82,NHS,Vegetarian PCOS patients need adequate complete protein
PCO032,PCOS,Vegetarian,iron,18.0,25.0,mg/day,recommended,low_iron,0.85,NHS,Higher iron needs for PCOS patients with heavy menstrual bleeding
PCO033,PCOS,Vegetarian,zinc,8.0,15.0,mg/day,recommended,zinc_poor,0.8,NHS,Zinc important for hormone balance in vegetarian PCOS
PCO034,PCOS,Vegetarian,omega3,1000.0,3000.0,mg/day,recommended,no_fish,0.88,NHS,Flaxseed and chia important omega-3 sources for vegetarian PCOS
PCO035,PCOS,With Depression,omega3,2000.0,4000.0,mg/day,recommended,low_omega3,0.88,NHS,Omega-3 supports both PCOS and mental health
PCO036,PCOS,With Depression,magnesium,310.0,400.0,mg/day,recommended,low_magnesium,0.82,NHS,Magnesium supports mood regulation alongside PCOS management
PCO037,PCOS,With Thyroid,iodine,150.0,300.0,mcg/day,recommended,iodine_deficient,0.85,NHS,Manage iodine carefully for combined thyroid and PCOS
PCO038,PCOS,With Thyroid,selenium,55.0,200.0,mcg/day,recommended,selenium_deficient,0.85,NHS,Selenium benefits both thyroid and PCOS management
PCO039,PCOS,With Fatty Liver,fructose,0.0,15.0,g/day,strict,fruit_juice,0.97,NHS,Fructose restriction critical for PCOS with fatty liver
PCO040,PCOS,With Fatty Liver,saturated_fat,0.0,7.0,g/day,strict,red_meat,0.95,NHS,Saturated fat restriction when PCOS complicates fatty liver
PCO041,PCOS,South Asian,ghee,0.0,1.0,teaspoon/day,moderate,ghee,0.82,FSSAI/NHS,Limit ghee for South Asian PCOS patients to manage insulin resistance
