Ingredient,Category,Nutrient_Flag,Condition,Impact,RiskWeight,Recommendation,Reason,Source
Processed Meat,Meat Product,High Sodium and Nitrates,Kidney Disease,Overloads kidney filtration,9,Strictly Avoid,Phosphorus and sodium in processed meat harm kidneys,NKF
Processed Meat,Meat Product,High Saturated Fat,High Cholesterol,Raises LDL levels,7,Avoid,Processed meat is high in saturated fat,AHA
Processed Meat,Meat Product,High Sodium and Nitrates,Cancer Risk,Classified as Group 1 carcinogen,8,Avoid,WHO classifies processed meat as Group 1 carcinogen,WHO
Soft Drinks,Beverage,High Sugar and Phosphoric Acid,Diabetes,Spikes blood glucose,9,Strictly Avoid,Sugary drinks rapidly elevate blood sugar,ADA
Soft Drinks,Beverage,High Sugar and Phosphoric Acid,Kidney Disease,Phosphoric acid harms kidneys,8,Avoid,Phosphoric acid in cola drinks worsens kidney function,NKF
Soft Drinks,Beverage,High Sugar and Phosphoric Acid,Obesity,Provides empty liquid calories,8,Avoid,Liquid calories from sodas promote weight gain,WHO
Soft Drinks,Beverage,High Sugar and Phosphoric Acid,Fatty Liver,HFCS causes liver fat,9,Strictly Avoid,High fructose corn syrup in sodas directly causes fatty liver,NHS
Soft Drinks,Beverage,High Sugar and Phosphoric Acid,Hypertension,Sodium and sugar raise BP,7,Avoid,Phosphoric acid and sugar in sodas worsen hypertension,AHA
Energy Drinks,Beverage,Caffeine and Sugar,Heart Disease,Triggers arrhythmias,10,Strictly Avoid,Energy drinks are linked to cardiac events and arrhythmias,AHA
Energy Drinks,Beverage,Caffeine and Sugar,Hypertension,Spikes blood pressure acutely,9,Strictly Avoid,High caffeine and stimulants in energy drinks dangerously raise BP,AHA
Energy Drinks,Beverage,Caffeine and Sugar,Diabetes,Very high sugar load,9,Strictly Avoid,Energy drinks have extremely high sugar content,ADA
Energy Drinks,Beverage,Caffeine and Sugar,Hyperthyroidism,Worsens cardiac effects,10,Strictly Avoid,Stimulants in energy drinks worsen hyperthyroid heart effects,NHS
Energy Drinks,Beverage,Caffeine and Sugar,Kidney Disease,Electrolyte overload,9,Strictly Avoid,Energy drinks overload kidneys with potassium and sodium,NKF
Pickles,Preserved Food,Very High Sodium,Hypertension,Critically raises blood pressure,9,Strictly Avoid,Pickles contain extremely high levels of sodium,NHS
Pickles,Preserved Food,Very High Sodium,Kidney Disease,Overloads renal sodium excretion,8,Avoid,Very high sodium in pickles harmful for CKD patients,NKF
Pickles,Preserved Food,Very High Sodium,Heart Disease,Increases fluid retention,7,Avoid,High sodium pickles worsen cardiac fluid overload,AHA
Pickles,Preserved Food,Very High Sodium,Obesity,High sodium promotes water retention,5,Avoid Often,Sodium in pickles promotes water retention and bloating,WHO
Instant Noodles,Processed Food,High Sodium and Refined Carbs,Hypertension,Very high sodium content,8,Avoid,Instant noodles contain extremely high sodium per serving,FSSAI
Instant Noodles,Processed Food,High Sodium and Refined Carbs,Diabetes,High glycemic refined carbs,8,Avoid,Refined carbs in instant noodles spike blood sugar rapidly,ADA
Instant Noodles,Processed Food,High Sodium and Refined Carbs,Kidney Disease,Sodium and phosphate overload,8,Avoid,Multiple minerals in instant noodles stress diseased kidneys,NKF
Instant Noodles,Processed Food,High Sodium and Refined Carbs,Obesity,High sodium and refined carbs,7,Avoid,Calorie dense with minimal nutrition promoting obesity,WHO
White Bread,Baked Good,High GI Refined Carbs,Diabetes,Rapidly spikes blood sugar,8,Avoid,White bread has glycemic index close to pure glucose,ADA
White Bread,Baked Good,High GI Refined Carbs,Obesity,Promotes fat storage,6,Avoid Often,High GI carbs spike insulin promoting fat storage,WHO
White Bread,Baked Good,High GI Refined Carbs,PCOS,Worsens insulin resistance,7,Avoid,Refined carbs in white bread worsen PCOS insulin cycle,NHS
White Bread,Baked Good,High GI Refined Carbs,Hypertension,May contain added sodium,4,Limit,Some white breads contain significant sodium,NHS
Pastries,Baked Good,Trans Fat and Sugar,Heart Disease,Contains trans fat,9,Strictly Avoid,Commercial pastries contain trans fat harmful for heart,AHA
Pastries,Baked Good,Trans Fat and Sugar,Diabetes,High sugar and refined carbs,9,Strictly Avoid,Pastries combine multiple diabetogenic ingredients,ADA
Pastries,Baked Good,Trans Fat and Sugar,Obesity,Very high calorie density,8,Avoid,Pastries are extremely calorie dense promoting obesity,WHO
Pastries,Baked Good,Trans Fat and Sugar,High Cholesterol,Trans fat raises LDL,9,Strictly Avoid,Trans fat in pastries dramatically raises LDL cholesterol,AHA
Bakery Products,Baked Good,Trans Fat and Refined Carbs,Heart Disease,Trans fat and saturated fat,8,Avoid,Commercial baked goods contain harmful fats,AHA
Bakery Products,Baked Good,Trans Fat and Refined Carbs,High Cholesterol,Trans fat raises LDL,8,Avoid,Trans fat in bakery products significantly raises LDL,AHA
Bakery Products,Baked Good,Trans Fat and Refined Carbs,Kidney Disease,Hidden phosphorus additives,7,Avoid,Bakery products contain phosphate additives harmful in CKD,NKF
Bakery Products,Baked Good,Trans Fat and Refined Carbs,Diabetes,High refined carbs,8,Avoid,Refined flour in bakery products spikes blood sugar,ADA
Bakery Products,Baked Good,Trans Fat and Refined Carbs,Obesity,Very calorie dense,7,Avoid,Bakery products are calorie dense promoting weight gain,WHO
