rule_id,condition,sub_condition,nutrient,threshold_min,threshold_max,unit,restriction_level,ingredient_flag,risk_weight,guideline_source,recommendation
DIA009,Diabetes,Type 2,trans_fat,0,0,g/day,strict,hydrogenated_oil,0.97,ADA,"Trans fats must be completely eliminated"
DIA010,Diabetes,Type 2,omega3,500,2000,mg/day,recommended,fried_snacks,0.78,ADA,"Omega-3 reduces cardiovascular risk in diabetics"
DIA011,Diabetes,Type 1,carbs,45,65,g/meal,moderate,concentrated_sweets,0.85,ADA,"Carb counting is essential for insulin management"
DIA012,Diabetes,Type 1,added_sugar,0,10,g/meal,strict,fruit_juice,0.92,ADA,"Limit added sugar per meal to prevent glucose spikes"
DIA013,Diabetes,Type 1,protein,15,20,percent,moderate,red_meat,0.70,ADA,"Adequate protein without excess for Type 1 management"
DIA014,Diabetes,Type 1,fat,20,35,percent,moderate,coconut_oil,0.75,ADA,"Moderate fat intake for Type 1 diabetes"
DIA015,Diabetes,Prediabetes,calories,0,1800,kcal/day,moderate,junk_food,0.88,ADA,"Caloric restriction to achieve 5-7% body weight loss"
DIA016,Diabetes,Prediabetes,physical_activity,150,300,min/week,recommended,sedentary_diet,0.85,ADA,"Combine diet changes with 150 mins exercise weekly"
DIA017,Diabetes,Prediabetes,whole_grain,50,100,percent,recommended,white_flour,0.80,ADA,"Replace refined grains with whole grains"
DIA018,Diabetes,Prediabetes,legumes,3,5,servings/week,recommended,canned_beans_sodium,0.72,ADA,"Legumes improve insulin sensitivity"
DIA019,Diabetes,General,meal_frequency,3,6,meals/day,recommended,skipped_meals,0.78,ADA,"Eat regular small meals to maintain glucose levels"
DIA020,Diabetes,General,artificial_sweetener,0,3,servings/day,moderate,saccharin,0.65,ADA,"Use approved sweeteners in moderation"
DIA021,Diabetes,General,glycemic_load,0,100,GL/day,strict,dates,0.90,ADA,"Control daily glycemic load not just individual foods"
DIA022,Diabetes,General,fructose,0,25,g/day,strict,high_fructose_corn_syrup,0.92,ADA,"Avoid high fructose corn syrup and excessive fruit juice"
DIA023,Diabetes,General,magnesium,310,420,mg/day,recommended,refined_foods,0.75,ADA,"Magnesium deficiency linked to insulin resistance"
DIA024,Diabetes,General,chromium,25,45,mcg/day,recommended,white_sugar,0.70,ADA,"Chromium supports insulin function"
DIA025,Diabetes,General,vitamin_d,600,800,IU/day,recommended,fortified_foods_absent,0.72,ADA,"Vitamin D deficiency worsens insulin resistance"
PCO001,PCOS,General,added_sugar,0,20,g/day,strict,sugar,0.95,NHS/ADA,"Reduce sugar to lower insulin resistance in PCOS"
PCO002,PCOS,General,refined_carbs,0,0,g/day,strict,white_bread,0.93,NHS,"Eliminate refined carbs to improve hormonal balance"
PCO003,PCOS,General,glycemic_index,0,55,GI score,strict,processed_snacks,0.92,NHS,"Low GI diet reduces androgen levels in PCOS"
PCO004,PCOS,General,fiber,25,35,g/day,recommended,refined_grains,0.85,NHS,"High fiber improves insulin sensitivity in PCOS"
PCO005,PCOS,General,trans_fat,0,0,g/day,strict,margarine,0.95,NHS,"Trans fats worsen inflammation and hormonal imbalance"
PCO006,PCOS,General,omega3,1000,3000,mg/day,recommended,vegetable_oil,0.88,NHS,"Omega-3 reduces inflammation and androgens in PCOS"
PCO007,PCOS,General,dairy,0,2,servings/day,moderate,full_fat_dairy,0.78,NHS,"Some studies link high dairy to elevated androgens"
PCO008,PCOS,General,soy,0,1,servings/day,moderate,soy_milk,0.65,NHS,"Soy phytoestrogens may affect hormone levels"
PCO009,PCOS,General,magnesium,310,360,mg/day,recommended,processed_food,0.80,NHS,"Magnesium helps regulate insulin and androgens"
PCO010,PCOS,General,zinc,8,12,mg/day,recommended,low_zinc_foods,0.75,NHS,"Zinc deficiency worsens PCOS symptoms"
PCO011,PCOS,General,vitamin_d,600,2000,IU/day,recommended,fortified_absent,0.80,NHS,"Vitamin D supplementation improves PCOS outcomes"
PCO012,PCOS,General,inositol,2000,4000,mg/day,recommended,deficient_diet,0.85,NHS,"Inositol improves ovulation and insulin sensitivity"
PCO013,PCOS,General,anti_inflammatory_foods,3,5,servings/day,recommended,processed_meat,0.82,NHS,"Anti-inflammatory foods reduce PCOS severity"
PCO014,PCOS,General,alcohol,0,0,units/day,strict,alcohol,0.88,NHS,"Alcohol disrupts hormone balance in PCOS"
PCO015,PCOS,Overweight,calories,1400,1800,kcal/day,moderate,high_calorie_snacks,0.85,NHS,"Modest caloric restriction helps PCOS management"
PCO016,PCOS,Overweight,protein,20,30,percent,recommended,low_protein_diet,0.80,NHS,"Higher protein reduces hunger and aids weight loss"
PCO017,PCOS,Overweight,saturated_fat,0,7,percent,strict,red_meat,0.85,NHS,"Limit saturated fat for PCOS with overweight"
PCO018,PCOS,Overweight,whole_grain,50,100,percent,recommended,white_rice,0.78,NHS,"Whole grains help PCOS-related insulin resistance"
PCO019,PCOS,Lean,total_calories,1800,2200,kcal/day,moderate,undereating,0.72,NHS,"Lean PCOS patients should avoid excessive restriction"
PCO020,PCOS,Lean,anti_androgen_foods,2,4,servings/day,recommended,high_fat_foods,0.75,NHS,"Foods reducing androgens beneficial for lean PCOS"
OBE001,Obesity,Class 1,calories,1200,1800,kcal/day,strict,fast_food,0.92,WHO,"Caloric deficit of 500-750kcal/day for Class 1 obesity"
OBE002,Obesity,Class 1,added_sugar,0,25,g/day,strict,sugary_drinks,0.93,WHO,"Eliminate added sugars especially liquid calories"
OBE003,Obesity,Class 1,total_fat,20,30,percent,moderate,deep_fried,0.88,WHO,"Reduce total fat to support weight loss"
OBE004,Obesity,Class 1,fiber,25,38,g/day,recommended,refined_food,0.82,WHO,"High fiber increases satiety and reduces calorie intake"
OBE005,Obesity,Class 1,protein,25,35,percent,recommended,processed_meat,0.78,WHO,"Adequate protein preserves muscle mass during weight loss"
OBE006,Obesity,Class 2,calories,1000,1500,kcal/day,strict,ultra_processed,0.95,WHO,"Greater restriction needed for Class 2 obesity"
OBE007,Obesity,Class 2,saturated_fat,0,7,percent,strict,cheese,0.88,WHO,"Strictly limit saturated fat for significant obesity"
OBE008,Obesity,Class 2,trans_fat,0,0,g/day,strict,baked_goods,0.97,WHO,"Zero trans fat essential for obese patients"
OBE009,Obesity,Class 2,alcohol,0,0,units/day,strict,beer,0.90,WHO,"Alcohol provides empty calories and worsens obesity"
OBE010,Obesity,Class 2,meal_frequency,4,6,meals/day,moderate,skip_breakfast,0.78,WHO,"Regular small meals prevent overeating"
OBE011,Obesity,Class 3,calories,800,1200,kcal/day,strict,junk_food,0.98,WHO,"Very low calorie diet under medical supervision"
OBE012,Obesity,Class 3,protein,30,40,percent,recommended,low_protein,0.92,WHO,"High protein critical to preserve lean mass in severe obesity"
OBE013,Obesity,Class 3,sugar,0,10,g/day,strict,sweets,0.97,WHO,"Near-zero sugar intake for morbid obesity management"
OBE014,Obesity,General,processed_food,0,0,servings/day,strict,ultra_processed_snacks,0.95,WHO/NHS,"Eliminate ultra-processed foods for weight management"
OBE015,Obesity,General,water,2000,3000,ml/day,recommended,sugary_drinks,0.85,WHO,"Adequate water intake supports weight loss"
OBE016,Obesity,General,omega3,500,2000,mg/day,recommended,saturated_oils,0.80,WHO,"Omega-3 reduces obesity-related inflammation"
OBE017,Obesity,General,whole_grain,50,100,percent,recommended,white_flour,0.78,WHO,"Whole grains reduce caloric density and increase satiety"
OBE018,Obesity,General,vegetables,5,7,servings/day,recommended,starchy_veg_excess,0.75,WHO,"Non-starchy vegetables help fill plate with fewer calories"
OBE019,Obesity,General,glycemic_load,0,80,GL/day,strict,high_GL_diet,0.88,WHO,"Controlling glycemic load aids weight and metabolic health"
OBE020,Obesity,General,portion_size,0,1,standard,strict,large_portion,0.85,WHO,"Portion control is critical for obesity management"
THY001,Hypothyroidism,General,iodine,150,300,mcg/day,recommended,iodine_deficient_foods,0.88,NHS,"Adequate iodine is essential for thyroid hormone synthesis"
THY002,Hypothyroidism,General,goitrogens,0,2,servings/day,moderate,raw_cruciferous,0.75,NHS,"Limit raw goitrogenic vegetables like cabbage and broccoli"
THY003,Hypothyroidism,General,soy,0,1,servings/day,moderate,soy_protein,0.72,NHS,"Soy may interfere with thyroid hormone absorption"
THY004,Hypothyroidism,General,selenium,55,200,mcg/day,recommended,selenium_deficient,0.82,NHS,"Selenium is essential for thyroid enzyme activity"
THY005,Hypothyroidism,General,zinc,8,12,mg/day,recommended,zinc_poor_diet,0.78,NHS,"Zinc is required for thyroid hormone production"
THY006,Hypothyroidism,General,fiber,20,35,g/day,moderate,excessive_bran,0.70,NHS,"Excess fiber may interfere with medication absorption"
THY007,Hypothyroidism,General,calcium,1000,1200,mg/day,moderate,calcium_timing,0.68,NHS,"Take calcium supplements away from thyroid medication"
THY008,Hypothyroidism,General,iron,8,18,mg/day,moderate,iron_supplement_timing,0.72,NHS,"Iron supplements can interfere with thyroid medications"
THY009,Hypothyroidism,General,calories,1400,2000,kcal/day,moderate,high_calorie,0.80,NHS,"Hypothyroidism slows metabolism so moderate caloric intake"
THY010,Hypothyroidism,General,sugar,0,25,g/day,moderate,refined_sweets,0.78,NHS,"Limit sugar as hypothyroidism increases obesity risk"
THY011,Hyperthyroidism,General,iodine,0,100,mcg/day,strict,iodized_salt,0.95,NHS,"Restrict iodine to avoid stimulating overactive thyroid"
THY012,Hyperthyroidism,General,caffeine,0,100,mg/day,strict,coffee,0.85,NHS,"Caffeine worsens hyperthyroid symptoms like palpitations"
THY013,Hyperthyroidism,General,calcium,1200,1500,mg/day,recommended,low_calcium,0.88,NHS,"Hyperthyroidism causes bone loss so increase calcium"
THY014,Hyperthyroidism,General,calories,2200,3000,kcal/day,recommended,low_calorie,0.82,NHS,"Increased caloric intake needed due to high metabolism"
THY015,Hyperthyroidism,General,goitrogenic_foods,2,5,servings/day,recommended,low_fiber,0.78,NHS,"Goitrogenic foods may help reduce thyroid activity"
THY016,Hyperthyroidism,General,vitamin_d,800,2000,IU/day,recommended,deficient_diet,0.80,NHS,"Vitamin D supplementation prevents bone density loss"
THY017,Hyperthyroidism,General,alcohol,0,0,units/day,strict,alcohol,0.85,NHS,"Alcohol worsens hyperthyroid symptoms and heart rate"
THY018,Thyroid,General,fluoride,0,3,mg/day,moderate,fluoride_water,0.65,NHS,"Excessive fluoride may inhibit iodine uptake"
THY019,Thyroid,General,gluten,0,0,g/day,moderate,wheat_products,0.60,NHS,"Some thyroid patients have concurrent gluten sensitivity"
THY020,Thyroid,General,vitamin_b12,2.4,1000,mcg/day,recommended,B12_deficient,0.75,NHS,"B12 deficiency common in thyroid disorders"
KID001,Kidney Disease,Stage 1-2,protein,0.6,0.8,g/kg/day,moderate,high_protein_foods,0.85,NKF,"Moderate protein restriction slows kidney disease progression"
KID002,Kidney Disease,Stage 1-2,sodium,0,2300,mg/day,moderate,processed_food,0.82,NKF,"Sodium restriction reduces hypertension in kidney disease"
KID003,Kidney Disease,Stage 1-2,potassium,2000,3000,mg/day,moderate,bananas,0.80,NKF,"Limit potassium in early kidney disease"
KID004,Kidney Disease,Stage 1-2,phosphorus,800,1000,mg/day,moderate,dairy,0.78,NKF,"Moderate phosphorus restriction in early CKD"
KID005,Kidney Disease,Stage 3-4,protein,0.6,0.75,g/kg/day,strict,red_meat,0.92,NKF,"Further protein restriction in moderate CKD"
KID006,Kidney Disease,Stage 3-4,potassium,1500,2000,mg/day,strict,tomatoes,0.90,NKF,"Strict potassium control to prevent hyperkalemia"
KID007,Kidney Disease,Stage 3-4,phosphorus,600,800,mg/day,strict,cheese,0.90,NKF,"Restrict phosphorus to prevent bone disease in CKD"
KID008,Kidney Disease,Stage 3-4,sodium,0,1500,mg/day,strict,canned_foods,0.92,NKF,"Strict sodium restriction for advanced CKD"
KID009,Kidney Disease,Stage 3-4,fluid,1000,1500,ml/day,strict,high_fluid_foods,0.88,NKF,"Fluid restriction critical for CKD patients"
KID010,Kidney Disease,Stage 5,protein,0.6,0.8,g/kg/day,strict,legumes,0.95,NKF,"Closely monitor protein for dialysis patients"
KID011,Kidney Disease,Stage 5,potassium,1500,2000,mg/day,strict,oranges,0.95,NKF,"Severe potassium restriction for end-stage kidney disease"
KID012,Kidney Disease,Stage 5,phosphorus,600,800,mg/day,strict,cola,0.95,NKF,"Strict phosphorus limits for dialysis patients"
KID013,Kidney Disease,Stage 5,fluid,700,1000,ml/day,strict,watermelon,0.95,NKF,"Severe fluid restriction for dialysis patients"
KID014,Kidney Disease,General,purine,0,100,mg/day,strict,organ_meat,0.88,NKF,"Low purine diet prevents uric acid buildup in kidneys"
KID015,Kidney Disease,General,oxalate,0,50,mg/day,moderate,spinach,0.82,NKF,"Reduce oxalate foods to prevent kidney stone formation"
KID016,Kidney Disease,General,vitamin_c,0,90,mg/day,moderate,high_dose_supplements,0.78,NKF,"Avoid high dose Vitamin C as it converts to oxalate"
KID017,Kidney Disease,General,calcium,800,1200,mg/day,moderate,supplement_excess,0.80,NKF,"Adequate but not excessive calcium in kidney disease"
KID018,Kidney Disease,General,vitamin_d,400,1000,IU/day,recommended,deficient,0.78,NKF,"Active Vitamin D supplementation for CKD patients"
KID019,Kidney Disease,General,added_sugar,0,25,g/day,moderate,sweet_beverages,0.80,NKF,"Limit added sugar to manage diabetes complication in CKD"
KID020,Kidney Disease,General,alcohol,0,0,units/day,strict,beer,0.92,NKF,"Alcohol worsens kidney function and dehydration"
HRT001,Heart Disease,General,saturated_fat,0,7,percent,strict,butter,0.95,AHA,"Strictly limit saturated fat to reduce LDL cholesterol"
HRT002,Heart Disease,General,trans_fat,0,0,g/day,strict,partially_hydrogenated_oil,0.98,AHA,"Complete elimination of trans fat is mandatory"
HRT003,Heart Disease,General,sodium,0,1500,mg/day,strict,table_salt,0.95,AHA,"Restrict sodium to reduce blood pressure and cardiac load"
HRT004,Heart Disease,General,omega3,1000,4000,mg/day,recommended,deep_fried,0.90,AHA,"Omega-3 fatty acids reduce cardiac arrhythmia risk"
HRT005,Heart Disease,General,fiber,25,35,g/day,recommended,refined_carbs,0.85,AHA,"Soluble fiber reduces LDL and cardiovascular risk"
HRT006,Heart Disease,General,alcohol,0,1,units/day,moderate,spirits,0.85,AHA,"Limit alcohol to reduce arrhythmia and cardiac stress"
HRT007,Heart Disease,General,added_sugar,0,25,g/day,strict,sugary_drinks,0.88,AHA,"Added sugar increases triglycerides and cardiac risk"
HRT008,Heart Disease,General,potassium,3500,4700,mg/day,recommended,processed_food,0.80,AHA,"Potassium counteracts sodium and reduces blood pressure"
HRT009,Heart Disease,General,red_meat,0,1,servings/week,strict,processed_meat,0.90,AHA,"Limit red and processed meat to reduce cardiac risk"
HRT010,Heart Disease,General,vegetables,5,8,servings/day,recommended,low_veg,0.82,AHA,"High vegetable intake reduces cardiovascular mortality"
HRT011,Heart Disease,Post MI,calories,1600,2200,kcal/day,moderate,excess_calories,0.88,AHA,"Controlled caloric intake post myocardial infarction"
HRT012,Heart Disease,Post MI,sodium,0,1200,mg/day,strict,salt,0.97,AHA,"Sodium restriction critical in post MI recovery"
HRT013,Heart Disease,Post MI,cholesterol_dietary,0,200,mg/day,strict,egg_yolk,0.92,AHA,"Dietary cholesterol restriction in post MI patients"
HRT014,Heart Disease,Post MI,antioxidants,3,5,servings/day,recommended,low_antioxidant,0.85,AHA,"Antioxidants reduce oxidative stress post heart attack"
HRT015,Heart Disease,Post MI,alcohol,0,0,units/day,strict,wine,0.92,AHA,"Complete alcohol abstinence recommended post MI"
HRT016,Heart Disease,Heart Failure,fluid,1000,1500,ml/day,strict,soups_broths,0.95,AHA,"Fluid restriction essential in congestive heart failure"
HRT017,Heart Disease,Heart Failure,sodium,0,1000,mg/day,strict,canned_food,0.97,AHA,"Severe sodium restriction in heart failure management"
HRT018,Heart Disease,Heart Failure,protein,1.1,1.5,g/kg/day,recommended,low_protein,0.85,AHA,"Adequate protein to prevent cardiac cachexia"
HRT019,Heart Disease,Heart Failure,potassium,2500,4000,mg/day,moderate,potassium_excess,0.80,AHA,"Potassium levels carefully managed in heart failure"
HRT020,Heart Disease,Heart Failure,magnesium,310,420,mg/day,recommended,low_magnesium,0.78,AHA,"Magnesium deficiency worsens cardiac arrhythmias"
CHO001,High Cholesterol,LDL High,saturated_fat,0,7,percent,strict,coconut_oil,0.95,AHA/NHS,"Reducing saturated fat directly lowers LDL levels"
CHO002,High Cholesterol,LDL High,trans_fat,0,0,g/day,strict,packaged_cookies,0.98,AHA,"Trans fat is the most damaging fat for cholesterol"
CHO003,High Cholesterol,LDL High,dietary_cholesterol,0,200,mg/day,strict,egg_yolk,0.88,AHA,"Limit dietary cholesterol from animal products"
CHO004,High Cholesterol,LDL High,soluble_fiber,5,15,g/day,recommended,refined_grains,0.88,AHA,"Soluble fiber binds cholesterol in gut and removes it"
CHO005,High Cholesterol,LDL High,plant_sterols,2,3,g/day,recommended,low_plant_food,0.85,AHA,"Plant sterols naturally lower LDL cholesterol"
CHO006,High Cholesterol,LDL High,omega3,1000,3000,mg/day,recommended,saturated_oils,0.82,AHA,"Omega-3 raises HDL and lowers triglycerides"
CHO007,High Cholesterol,HDL Low,alcohol,0,1,units/day,moderate,heavy_drinking,0.78,AHA,"Moderate alcohol can raise HDL but risks outweigh benefits"
CHO008,High Cholesterol,HDL Low,trans_fat,0,0,g/day,strict,fast_food,0.95,AHA,"Trans fat lowers HDL making it doubly harmful"
CHO009,High Cholesterol,HDL Low,omega3,1000,2000,mg/day,recommended,processed_food,0.85,AHA,"Omega-3 supports HDL elevation"
CHO010,High Cholesterol,HDL Low,monounsaturated_fat,10,20,percent,recommended,low_healthy_fat,0.80,AHA,"Olive oil and avocados help raise HDL levels"
CHO011,High Cholesterol,Triglycerides,added_sugar,0,10,g/day,strict,candy,0.97,AHA,"Sugar is the primary driver of high triglycerides"
CHO012,High Cholesterol,Triglycerides,refined_carbs,0,0,g/day,strict,white_bread,0.95,AHA,"Refined carbs convert to triglycerides in the liver"
CHO013,High Cholesterol,Triglycerides,alcohol,0,0,units/day,strict,wine,0.95,AHA,"Alcohol dramatically raises triglyceride levels"
CHO014,High Cholesterol,Triglycerides,omega3,2000,4000,mg/day,recommended,no_fish,0.92,AHA,"High dose omega-3 is clinically proven to lower triglycerides"
CHO015,High Cholesterol,Triglycerides,fruit_juice,0,0,ml/day,strict,orange_juice,0.90,AHA,"Fruit juice is high in fructose which raises triglycerides"
CHO016,High Cholesterol,General,red_meat,0,1,servings/week,strict,processed_meat,0.88,NHS,"Limit red meat to reduce saturated fat intake"
CHO017,High Cholesterol,General,fiber,25,35,g/day,recommended,low_fiber,0.85,NHS,"Total fiber intake important for cholesterol management"
CHO018,High Cholesterol,General,nuts,1,2,servings/day,recommended,roasted_salted_nuts,0.80,AHA,"Unsalted nuts lower LDL and improve lipid profile"
CHO019,High Cholesterol,General,oats,1,2,servings/day,recommended,refined_cereal,0.82,AHA,"Oats contain beta-glucan which lowers LDL significantly"
CHO020,High Cholesterol,General,added_sugar,0,25,g/day,strict,high_sugar_foods,0.88,AHA,"Excess sugar raises triglycerides and lowers HDL"
FLV001,Fatty Liver,NAFLD,added_sugar,0,15,g/day,strict,soda,0.97,WHO/NHS,"Fructose and added sugar directly cause liver fat accumulation"
FLV002,Fatty Liver,NAFLD,fructose,0,25,g/day,strict,fruit_juice,0.95,WHO,"Fructose is lipogenic and worsens NAFLD"
FLV003,Fatty Liver,NAFLD,saturated_fat,0,7,percent,strict,red_meat,0.92,NHS,"Saturated fat increases hepatic lipid accumulation"
FLV004,Fatty Liver,NAFLD,trans_fat,0,0,g/day,strict,margarine,0.97,WHO,"Trans fat causes liver inflammation and fibrosis"
FLV005,Fatty Liver,NAFLD,calories,1400,1800,kcal/day,moderate,excess_calories,0.90,NHS,"Caloric restriction of 500-1000kcal/day reverses NAFLD"
FLV006,Fatty Liver,NAFLD,omega3,2000,4000,mg/day,recommended,omega6_excess,0.88,NHS,"Omega-3 reduces hepatic steatosis significantly"
FLV007,Fatty Liver,NAFLD,coffee,0,3,cups/day,moderate,energy_drinks,0.60,NHS,"Coffee consumption associated with lower liver inflammation"
FLV008,Fatty Liver,NAFLD,alcohol,0,0,units/day,strict,beer,0.98,NHS,"Strict alcohol abstinence essential for liver recovery"
FLV009,Fatty Liver,NAFLD,fiber,25,38,g/day,recommended,refined_foods,0.85,NHS,"Fiber reduces fat absorption and supports gut microbiome"
FLV010,Fatty Liver,NAFLD,vitamin_e,0,400,IU/day,moderate,high_fat_diet,0.78,NHS,"Vitamin E reduces liver inflammation in non-diabetic NAFLD"
FLV011,Fatty Liver,NASH,calories,1200,1600,kcal/day,strict,high_calorie,0.95,NHS,"Aggressive caloric restriction in NASH management"
FLV012,Fatty Liver,NASH,saturated_fat,0,5,percent,strict,cheese,0.95,NHS,"Strict saturated fat restriction for NASH patients"
FLV013,Fatty Liver,NASH,fructose,0,10,g/day,strict,sweetened_beverages,0.97,NHS,"Eliminate fructose to halt NASH progression"
FLV014,Fatty Liver,NASH,protein,1.0,1.5,g/kg/day,recommended,low_protein,0.85,NHS,"Adequate protein prevents hepatic muscle wasting in NASH"
FLV015,Fatty Liver,NASH,alcohol,0,0,units/day,strict,wine,0.99,NHS,"Absolute alcohol abstinence mandatory for NASH"
FLV016,Fatty Liver,General,cholesterol_dietary,0,200,mg/day,strict,organ_meat,0.88,NHS,"Dietary cholesterol worsens hepatic steatosis"
FLV017,Fatty Liver,General,processed_food,0,0,servings/day,strict,packaged_snacks,0.95,NHS,"Eliminate all processed and ultra-processed foods"
FLV018,Fatty Liver,General,antioxidants,3,5,servings/day,recommended,low_antioxidant_diet,0.82,NHS,"Antioxidant-rich foods reduce liver oxidative stress"
FLV019,Fatty Liver,General,green_tea,1,3,cups/day,moderate,sugary_tea,0.68,NHS,"Green tea catechins may reduce liver fat accumulation"
FLV020,Fatty Liver,General,mediterranean_diet,5,7,servings/day,recommended,western_diet,0.88,NHS,"Mediterranean diet pattern is most evidence-based for NAFLD"
ALL001,Allergy,Peanut,peanuts,0,0,mg,strict,peanut_oil,0.99,NHS/FSSAI,"Complete avoidance of peanuts and peanut derivatives"
ALL002,Allergy,Peanut,tree_nuts,0,0,mg,strict,mixed_nuts,0.90,NHS,"Cross-contamination risk from tree nuts in peanut allergy"
ALL003,Allergy,Peanut,processed_food,0,0,servings,strict,may_contain_peanuts,0.95,FSSAI,"Avoid all foods with peanut traces in manufacturing"
ALL004,Allergy,Tree Nut,tree_nuts,0,0,mg,strict,walnut,0.99,NHS,"Complete avoidance of all tree nut varieties"
ALL005,Allergy,Tree Nut,nut_oils,0,0,ml,strict,almond_oil,0.95,NHS,"Avoid nut-derived oils including cosmetic products"
ALL006,Allergy,Milk,dairy,0,0,mg,strict,milk_protein,0.99,NHS/FSSAI,"Complete avoidance of milk proteins casein and whey"
ALL007,Allergy,Milk,hidden_dairy,0,0,mg,strict,bakery_products,0.92,FSSAI,"Check for hidden milk derivatives in all packaged foods"
ALL008,Allergy,Egg,eggs,0,0,mg,strict,egg_protein,0.99,NHS,"Complete avoidance of all egg forms including derivatives"
ALL009,Allergy,Egg,processed_food,0,0,servings,strict,mayonnaise,0.92,FSSAI,"Avoid mayonnaise and baked goods containing egg"
ALL010,Allergy,Wheat/Gluten,gluten,0,0,mg,strict,wheat,0.99,NHS/FSSAI,"Complete gluten avoidance for wheat allergy and celiac"
ALL011,Allergy,Wheat/Gluten,barley,0,0,mg,strict,barley_malt,0.97,NHS,"Barley contains gluten and must be avoided"
ALL012,Allergy,Wheat/Gluten,rye,0,0,mg,strict,rye_bread,0.97,NHS,"Rye contains gluten and must be avoided"
ALL013,Allergy,Soy,soy,0,0,mg,strict,soy_sauce,0.99,NHS/FSSAI,"Complete avoidance of soy in all its forms"
ALL014,Allergy,Soy,soy_derivatives,0,0,mg,strict,tofu,0.97,FSSAI,"Avoid soy lecithin and soy-derived additives"
