Allergen,AllergyType,Trigger_Ingredient,Severity,Symptoms,RiskWeight,Recommendation,Cross_Reactive_Foods,Avoid_Label_Terms,Source
Sulphites,Food Intolerance,Sulphur Dioxide,Severe,Severe asthma anaphylaxis,9,Strictly Avoid,All sulphite-containing foods,E220 E221 E222 E223,NHS
Molluscs,Food Allergy,Squid,Mild,Oral tingling skin reactions,4,Avoid Often,Octopus cuttlefish,Squid extract calamari,NHS
Molluscs,Food Allergy,Squid,Severe,Anaphylaxis risk,9,Strictly Avoid,All molluscs,Any cephalopod derivatives,NHS
Molluscs,Food Allergy,Oysters,Moderate,Urticaria vomiting,7,Avoid,Clams mussels,Oyster sauce oyster extract,NHS
Molluscs,Food Allergy,Oysters,Severe,Anaphylaxis risk,9,Strictly Avoid,All bivalves,Any oyster derivatives,NHS
Corn,Food Intolerance,Corn Starch,Mild,Digestive bloating discomfort,3,Limit,High fructose corn syrup,Maize starch corn flour,FSSAI
Corn,Food Intolerance,Corn Starch,Moderate,Significant GI distress,6,Avoid Often,Glucose syrup corn syrup,Modified corn starch dextrose,FSSAI
Corn,Food Allergy,Corn Protein,Severe,Allergic reaction anaphylaxis,8,Strictly Avoid,All corn derivatives,Corn extract zein,FSSAI
Nightshade,Food Sensitivity,Tomatoes,Mild,Joint pain digestive discomfort,3,Limit,Peppers eggplant potato,Tomato extract lycopene,NHS
Nightshade,Food Sensitivity,Peppers,Mild,Mild inflammatory response,3,Limit,Tomatoes eggplant,Capsicum extract paprika,NHS
Nightshade,Food Sensitivity,Eggplant,Moderate,Inflammatory symptoms skin reactions,5,Avoid Often,Tomatoes peppers,Aubergine extract,NHS
Histamine,Food Intolerance,Fermented Foods,Mild,Headache flushing itching,4,Limit,Aged cheese wine vinegar,Histamine-rich foods,NHS
Histamine,Food Intolerance,Fermented Foods,Moderate,Hives headache GI symptoms,6,Avoid Often,Processed meats soy sauce,Fermented or aged products,NHS
Histamine,Food Intolerance,Fermented Foods,Severe,Severe GI and systemic reaction,8,Avoid,All high histamine foods,Any fermented or aged products,NHS
Fructose,Food Intolerance,Fruit Sugar,Mild,Bloating gas mild discomfort,3,Limit,Honey HFCS fruit juices,High fructose corn syrup,NHS
Fructose,Food Intolerance,Fruit Sugar,Moderate,Significant GI distress malabsorption,6,Avoid Often,Dried fruits fruit drinks,Fructose sorbitol,NHS
Fructose,Food Intolerance,Fruit Sugar,Severe,Hereditary fructose intolerance risk,9,Strictly Avoid,All fructose-containing products,Fructose sugar invert sugar,NHS
Artificial Colors,Food Sensitivity,Tartrazine E102,Mild,Hyperactivity skin reactions,4,Limit,Orange yellow colored foods,E102 tartrazine FD&C Yellow 5,FSSAI
Artificial Colors,Food Sensitivity,Sunset Yellow E110,Mild,Urticaria in sensitive individuals,4,Limit,Orange colored beverages,E110 sunset yellow FD&C Yellow 6,FSSAI
Artificial Colors,Food Sensitivity,Carmine E120,Moderate,Urticaria anaphylaxis in severe cases,7,Avoid,Red colored foods drinks,E120 cochineal carmine,FSSAI
Artificial Preservatives,Food Sensitivity,Sodium Benzoate,Mild,Hyperactivity in children,4,Limit,Processed beverages jams,E211 sodium benzoate,FSSAI
Artificial Preservatives,Food Sensitivity,BHA BHT,Mild,Potential endocrine effects,4,Limit,Processed snack foods cereals,Butylated hydroxyanisole,FSSAI
Artificial Sweeteners,Food Sensitivity,Aspartame,Mild,Headache in sensitive individuals,3,Limit,Diet beverages sugar-free products,Aspartame NutraSweet Equal,NHS
Artificial Sweeteners,Food Sensitivity,Saccharin,Mild,GI discomfort in some individuals,3,Limit,Diet sodas sugar-free candies,Saccharin Sweet'N Low,NHS
